음식,기준,단위,기준값,kcal,탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),추천1,추천2,추천3
초밥,1pcs,pcs,1,38.0,6.0,2.0,0.7,0.5,80.0,미소 된장국,장국 계란찜,절임 채소
라면,1그릇,그릇,1,540.0,70.0,20.0,20.0,4.0,1800.0,김밥,김치,튀김만두
햄버거,중형 1개,개,1,420.0,40.0,20.0,20.0,8.0,900.0,감자튀김,코울슬로,콜라
파스타,1접시,접시,1,575.0,90.0,20.0,15.0,10.0,800.0,갈릭브레드,샐러드,와인
샌드위치,1개,개,1,430.0,50.0,22.0,16.0,8.0,900.0,감자칩,커피,토마토스프
김치볶음밥,1그릇,그릇,1,680.0,100.0,16.0,24.0,7.0,1500.0,계란후라이,김,깍두기
치킨,100g,g,1,332.5,12.5,20.0,22.5,4.0,600.0,감자튀김,맥주,콜라
피자,1조각,조각,1,307.5,37.5,12.5,12.0,4.5,550.0,감자튀김,맥주,샐러드
카레라이스,1접시,접시,1,720.0,115.0,15.0,22.0,9.0,1300.0,계란후라이,라씨,샐러드
스테이크,100g,g,100,240.0,1.0,25.0,15.0,0.5,350.0,감자그라탱,빵,와인
타코,1개,개,1,187.5,20.0,10.0,7.5,2.5,350.0,과카몰리,나초,콜라
덮밥,1그릇,그릇,1,830.0,105.0,30.0,32.0,11.0,1500.0,계란후라이,미소 된장국,절임 채소
만두,1개,개,1,45.6,5.0,2.5,1.8,0.5,112.5,간장,김치,라면
카케우동,1그릇,그릇,1,365.0,68.0,12.0,5.0,4.0,1600.0,계란,김,튀김
샐러드,100g,g,100,116.0,7.2,7.2,6.4,2.8,160.0,빵,스프,치킨
비빔밥,1그릇,그릇,1,565.0,90.0,20.0,14.0,9.0,1000.0,계란후라이,김치,된장국
떡볶이,100g,g,100,175.0,33.3,3.0,3.3,6.0,466.7,계란,순대,튀김
김밥,1줄,줄,1,380.0,60.0,12.0,10.0,6.0,9000.0,김치,떡볶이,우동
소금빵,1개,개,1,360.0,44.0,7.0,17.0,4.0,300.0,과일,치즈,커피
김치찌개,1그릇,그릇,1,280.0,12.0,22.0,16.0,6.0,1700.0,고등어,계란말이,밥
짜장면,1그릇,그릇,1,600.0,100.0,20.0,15.0,10.0,1300.0,단무지,탕수육,김치
짬뽕,1그릇,그릇,1,650.0,85.0,25.0,20.0,12.0,1400.0,김치,계란,만두
된장찌개,1그릇,그릇,1,180.0,10.0,12.0,9.0,3.0,800.0,밥,김치,계란말이
밥버거,1개,개,1,550.0,75.0,25.0,15.0,6.0,950.0,김치,감자튀김,스프
라자냐,1접시,접시,1,700.0,80.0,30.0,30.0,12.0,1200.0,샐러드,와인,빵
돈까스,1인분,인분,1,750.0,65.0,30.0,40.0,5.0,1200.0,밥,김치,된장국
잔치국수,1그릇,그릇,1,450.0,80.0,15.0,5.0,6.0,1100.0,김치,만두,튀김
감자탕,1그릇,그릇,1,700.0,40.0,35.0,40.0,5.0,1600.0,밥,김치,계란
삼겹살,100g,g,100,425.0,0.0,15.0,35.0,0.0,500.0,쌈채소,된장찌개,밥
리조또,1접시,접시,1,650.0,80.0,15.0,20.0,8.0,900.0,샐러드,와인,빵
불고기,100g,g,100,260.0,10.0,15.0,17.5,5.0,450.0,밥,쌈채소,된장찌개
생크림케이크,1조각,조각,1,340.0,35.0,4.0,22.0,18.0,150.0,커피,과일,아이스크림
제육볶음,100g,g,100,300.0,12.5,14.0,20.0,4.0,650.0,밥,김치,미역국
족발,100g,g,100,275.0,2.5,15.0,20.0,1.5,500.0,쌈채소,무말랭이,밥
탕수육,100g,g,100,350.0,25.0,12.5,20.0,6.0,500.0,단무지,공깃밥,짜장면
